address,snapshot1,snapshot2
0x0006230b517b06e63b9086e7a43e4e70c523751d,567156260991983820747,1009138430473560225116
0x00068ba6ed8f720995ea0f38fccd026e957eb5ce,756101764971507504334,1664634551690223837700
0x0014077b4364aa8886b78a13d57177f8b01352a0,43279500000000000000,29020750000000000000
0x0014f26185fafe214da8867236528ff3622837d2,2386500000000000000,1600250000000000000
0x00163397976e3d231bebbaa19be9a716ad59761e,1161000000000000000,111814288017868223013
0x001856e787d9a291b615a51413aec8f554a508d4,37976160776828738170,301839429878032161174
0x0019cf2d5476d5006260b582ee973f0de6212df3,0,114424589201483083356
0x001aaaaa6bab5b5a14c4aa794d00d8059f0b0d76,0,0
0x001ddb93a6725639146b9f5f187dd2e015e0482d,0,0
0x0021e4238beefe201b526c61b0ea5267b1b78723,0,0
0x0028c8231989e2a6ef39e7ed860d7d8bbcb67562,0,0
0x002b24bd31cc35c72c78007bb3f309a489af5d26,0,477056207148249530070
0x002d1e208be826b88f7d30afc56288e1abb0d345,0,0
0x00309826dc86140ef9f11abfa3742df035a10934,323073331312832345406,294141391195265269698
0x00397d81c4b005e86df0492fd468891ad2153377,0,519230769237000000000
0x003ab4cf8c010d77f58f810b8d0d5ab833e4ccc1,0,10213827668302106621
0x003af2b986e7f22320f2bafbf8d455ca8db38be4,0,0
0x004d5c3c8be30478a5b58f1ff1a98f38f65d3b1d,9800000000000000000,9600000000000000000
0x004fdbc8c22ae5ab06ca84d933f45dd87e9e252a,200188089042603403500,0
0x0053668192a1853934da6893d1c9bb4e37f32a1a,0,0
0x00537a7aeaf33b66f8ba73de66512a10f50c1239,4005751848808545771000,10333968024574522638630
0x00587210a5c18690da1b825fd6f3f9c583f52268,576000000000000000000,492000000000000000000
0x005e630d12fc6324f79a4109c70ed5113bb18788,0,15182108753108769546
0x006a96a438fee1df6169e1414f204c428c7c08bd,0,16298887093353934007252
0x007565a945232d3c434fa5a20e691764702d65cc,4710000000000000000000,8410000000000000000000
0x0078a0c1d523181e3cdd798647ad1c6d0306bb47,14655350984133094293,11102538624343253252
0x0083477abc1c5bfc41a9b66877eca9335b73a7ba,0,0
0x0084607fffa62eae449ceea975bb9710ada455c2,84992000000000000000,0
0x00862141dce3ac283e6e6542c616cf0ba4742158,0,0
0x008a0ccb36dd18e5daeae4458fb07b900618d28c,0,0
0x0095afc96094160cea6a5e00b5858369f25f3d74,18096159692208316032,14384126934832251205
0x00adc7c431639eb064a60767a8af32034f2b2cb2,5224500000000000000,3503250000000000000
0x00b8290f5fbf354656856b4def6961b59deed8e6,3900000000000000000,3100000000000000000
0x00bbcf5bb0fffa1a381d883ddc5d1fbc139afd25,0,0
0x00be24972a705eeced07053c84f01cc8b860b70b,121100000000000000000,653650800000000000000
0x00c13dac3283a412870060513b0b0af1fafb2c37,0,0
0x00c93592a6d4fb0b7829027044dcaf2a4ac47c86,1060000001857367100299,920000001612054464410
0x00cb9596663bac8420c13ad28dfee7f3f21fdcdc,5440000000000000000000,2960000000000000000000
0x00d8c46d4702e6f36fd11fc9dd3c25f1616a2690,737622000000000000000,494607000000000000000
0x00d9be5b8e8169f57e1f2a2ec791b2cb85a47b24,0,0
0x00ddc80c38c51bce712b34488352cdca2fddc514,2943037549148064985,2058202730449953938
0x00e318199cb7c57036a5012ea8ea0d094c571a9b,0,0
0x00ef8e4f1593359454c5dcced51c8660c509c12a,0,30885450157609282607
0x00f557f3b7fd46fc5a3367e9ab17a038369f889d,2778504552909556722,2045524824227894517
0x00f63088800e6a1891e05843bb6dc96fbb54f354,1200000000000000000,0
0x00f6d53746d770fd7937271015174422d6807821,2631600000000000000,1764600000000000000
0x00f7a7f5c41b4fd433dc705949fd6b1a91debe4a,0,0
0x00fb98b676e6677b9b20c5a2a1ed51d45734ffea,10230697290351088750,6547646265824696800
