address,snapshot1,snapshot2
0x0006230B517B06e63b9086e7a43E4E70C523751d,567156260991983820747,1009138430473560225116
0x0019cf2D5476d5006260b582Ee973f0dE6212DF3,0,114424589201483083356
0x002B24Bd31cC35c72c78007bb3f309a489AF5D26,0,477056207148249530070
0x00309826dc86140Ef9f11aBFa3742Df035A10934,323073331312832345406,294141391195265269698
0x00397D81c4b005e86Df0492fd468891AD2153377,0,519230769237000000000
0x004d5c3C8BE30478A5b58f1ff1a98F38f65d3b1D,9800000000000000000,9600000000000000000
0x004fDbc8C22aE5ab06cA84D933f45Dd87e9e252a,200188089042603403500,0
0x00537a7aEaF33b66f8BA73De66512a10F50C1239,4005751848808545771000,10333968024574522638630
0x00587210A5c18690Da1B825fd6F3F9c583f52268,576000000000000000000,492000000000000000000
0x007565a945232d3C434fa5A20e691764702D65Cc,4710000000000000000000,8410000000000000000000
0x0078A0c1D523181E3CDd798647aD1c6d0306Bb47,14655350984133094293,11102538624343253252
0x0084607fFFA62eae449CEeA975bb9710ADa455c2,84992000000000000000,0
0x0095AFC96094160CeA6a5E00b5858369F25F3d74,18096159692208316032,14384126934832251205
0x00b8290F5fbf354656856b4DEf6961b59dEed8e6,3900000000000000000,3100000000000000000
0x00bE24972a705eeCeD07053c84F01cC8B860B70b,121100000000000000000,653650800000000000000
0x00c93592A6d4Fb0b7829027044DcaF2A4Ac47c86,1060000001857367100299,920000001612054464410
0x00f63088800E6a1891E05843bB6dC96FBB54F354,1200000000000000000,0
0x00Fb98b676e6677b9B20c5A2A1Ed51D45734FFea,10230697290351088750,6547646265824696800
0x01081b1821383E48289828B8B1d03ee8e5b31E44,188984690674536948980,104991494819187193878
0x0111F8768b123EEFE2B4D645Af85E331DA9C445C,0,4365000000000000000000
0x0117E91a70d7A2Ca31e838069a585003798BCd7D,12880160796837342336,0
0x01190DA45dE5151e69D906bE9CB2BdE4d486caF8,718978202136401060000,1489311990139687910000
0x011ae0B0B6DAef84492f9812399a9404068c6a14,77500000000000000000,57500000000000000000
0x012284b9DcA8D887d5Ca0F746100A960aB0803B9,1956846047662273017,0
0x01252BdB4927bFEED7e4c87a4a33d4DA8D3D5Aa5,2918252029659969314313,3016640502826704321324
0x01485557C2BC6E26c7187ff4cC38d5d9474405D4,85864597412787045000,66783575765501035000
0x0148715bF8F3dD3fB39C742EfbDC564a5693A884,28035446170008432520,0
0x0149F4Ffb5d9628fdC269b835f3BA6428770226e,8029348219683453000,0
0x0156c17fe07392D81B870805a6a061C751C90F34,4675736838589847100,4628025238196073150
0x016feeca99CEa3019dd6E2796C6DF786F887b8cA,755407723911257120046,0
0x01740c9FCff3607531B363dC940378D2A9fE837D,2497642769104355000000,1074004781429745300000
0x018f9e9e09d8A3e817128882Eaaf9a0d3BB24054,86893542710349895400,155922910238529234600
0x0196aD265c56F2b18B708C75CE9358A0b6DF64CF,30800000000000000000,25900000000000000000
0x01A06B5a3C2F556Be150DDFbF0d3Dd30d06952F7,109617502054231720000,0
0x01Ab06F4Eb304a6f804E26CbE5f16D23D06b68a5,610401088742810000000,524944936318816600000
0x01B5FceFa2fD6bA0B569781B3dc3B2989D5249fC,7855024093267229390,5215017875649879870
0x01C116715455AaaE57304C8C510A4277CB14f9B6,777753217740458935,625996492327686460
0x01C65748f6E291B2d05df8FfF86FF5221bFB57d5,0,712388370030978537950
0x01d80BdD0c83c99465698e77E829C015950B220F,2039734647987339893401,7175756261337490814283
0x01DEd24346ED09CB7f672A6A9B88ADDB1FD39a39,356774485986702591229,353133930007246442339
0x01e6694700Fcea08883a6378d4AD82441BfE4217,3700000000000000000,2900000000000000000
0x01ebe736c12fE6915C615c159C801433b98273BE,10674598707326587030,5930332615181437239
0x02145c044f5880F9479240f413dE7129b58e3e09,0,96226753555775234000
0x02482219a0d939dd6e224dcfA0Cd7Dc45C1296e3,550200000000000000000,1218300000000000000000
0x024BBf657AabB7E80f920A81d46260732e8C2167,3450459000000000000000,2994738000000000000000
0x025C22f47E0367Bb04555CF0f3aCC79347b02c09,34780000000000000000,0
0x025d776844Ac13F1E9B3D454F55137a233B8a3B2,0,401770494892468189756
