"id","staker","amount","total","block","locked_until","timestamp"
692968,"0x71A32bCA820Eb0EC1c259341b517098f718aEaDC",6700000000,21482496804,3446070,1640946495,1624053198
76422,"0xa40E5754544b8d5592AB30F3D1e172c27524435B",5000000000,15000000000,3375482,1630060095,1621814423
14934,"0x5f9758b401ae93826B7f481ba4A98c1714D907B5",927842370,927842370,3294419,1640946495,1619300544
11529,"0x6C08c36C2fB1a3579d3A79BF1004C36E08cEdbE4",14957011259,14957011259,3264905,1638527295,1618366705
609920,"0x8c1f5E4056B0FCC53D6A9231268854DB42C3496A",259463668,1730363874,3419447,1627640895,1623188213
12729,"0xd801DAf9CD5B7b50A4A596C65c397F948703D480",1656231598,1656231598,3274070,1671186495,1618667239
10706,"0xbBe87bEE102A6e111Bf3295ebE4c9Ca5932Cf8dD",16461894001,16461894001,3244946,1707474495,1617716774
16727,"0x8f0D1D011Ef84DaD5810b8f6C8a2FE54EFa4d01e",567695339,567695339,3325877,1625221695,1620253692
76385,"0xaD334dFA23A2b06d31d53092b9E429BB2EeE99A6",1500000000,1500000000,3374593,1642156095,1621786166
15007,"0xDd91B25B0103548b5655F5830d16D33f93e65A70",50000000000,180000000000,3296837,1639736895,1619374770
15613,"0xE7b968d86Dac4820Fc964A6D5d400DB2b0Af8D20",50000000000,50000000000,3310612,1653042495,1619800061
15015,"0xA4d3eA01e5205f349aFfa727632d6B8b6FC28Da9",1000000000,1000000000,3296958,1628850495,1619378639
28683,"0x67776B1B56401d903b9706b6d9073079b2587833",37256560,37256560,3342055,1640946495,1620751263
29687,"0x9a9Abec8cbF260AfADd7ae8adBF8cA45045a95df",5000000000,5000000000,3348132,1630060095,1620941788
15172,"0x232bC2C9b6e11a4FD3fA2a6531aF429AAA35913b",2290468364,2290468364,3302168,1650623295,1619537333
14567,"0x37174343816B4DBb9128b76C4f3dda6EA6f6CC3C",41232340075,41232340075,3287463,1707474495,1619088891
29612,"0xdc69CFA1d7316F19e53cAfA14079D47bf40ed6bF",500000000,500000000,3346607,1636108095,1620892867
