address,power
0x11e18D60c4a10905dc50123d949DABC9EE383752,0
0x47B16A54d806b7Ea29D5e7638C39B96733aE58A0,0
0x244E33Fb326f3Db968d128B1fb6C4edb4f6D3006,0
0x84Bc9B47AC8947bC9DA1e0Fb7680B50Ac19a7356,0
0xd95897bEBEd11d1d852e8dbC6FB448709c6a77Cc,0
0xEb8c65eA49563ca175a48052Ee2894b6C961c6c5,0
0x61377fc7A41a8036Cd01062E2632557fd068e2BD,0
0x0bcBFcf3FDBa607091C6c27AD69b197Fe2d15992,0
0x6a53518181F0c63b0b0A6C0D9839Ac8D3aBD3E94,0
0x6cD0d1C5EF3819D1f8d99d85ae8e0c3137898142,0
0x6E3e5B17b3ca6142117ba7C75741Db086026725f,0
0x5684A06CaB22Db16D901FEe2a5c08b4C91eA40e,0
0x179c85e3C1184a7Ab85ae4bE58f9857a1CdA5435,0
0x0C149119166d186299A8894a596106743f280B22,0
