"id","staker","amount","block","previous_date","new_date","timestamp"
9840,"0x0877acafd6362938B38a7b28a6f8F5121e51E791",25000000000,3570138,1622802495,1631269695,1627990518
8175,"0x48323d0CB8930C6A5e0cdF234e20B9Cc9BEC6926",166600000000,3448855,1622802495,1626431295,1624141017
3795,"0x07bC260147E692088111efe5416Bc234ec28d194",12208270260,3349970,1620383295,1625221695,1621001573
5872,"0xaBd9Ccebd132d2D99ac97cfb95156bFf9acFFbDf",38000000000,3377848,1621592895,1627640895,1621887354
1282,"0x952bEc2112454fDABE368ee8B0a2ec09DFDf26a7",551860457,3331203,1620383295,1639736895,1620418262
9207,"0x4317c9D3FdC7df6040a3894d30E2C5325791FD0C",20656397435,3537746,1624012095,1628850495,1626964201
9786,"0x6f6634B2AAb01df7F47F615fb4E2b876Bd3aE5EA",1192401805,3552645,1621592895,1631269695,1627437291
5780,"0xFeD648CCea13C6126fF664b0dfe65C6cb1257d41",300000000,3374740,1621592895,1640946495,1621791263
9962,"0x4E93c6ed4DBA442859794D5141959935241Ca045",181937761,3585086,1624012095,1630060095,1628460683
6467,"0x1e4E7c29462e3dC4a6F565FDbefAD203F1c70243",3234269342,3418661,1622802495,1627640895,1623163689
33,"0x68B9170416F5A982cEED30aC3807062953cC24Aa",52200000000,3260442,1621592895,1625221695,1618218631
6447,"0x097dA78486D49763b2Ad55F19327DC27068f8a20",600000000,3416123,1624012095,1627640895,1623081680
685,"0x9859932709465aee85d0059bd02B1eaaAd31D75e",53476477615,3313898,1619173695,1634898495,1619898827
6463,"0x980C00A0B98b3D8c5D30C9AD6586F2d63694f7DA",102710000000,3417964,1624012095,1631269695,1623141036
8140,"0x1852393eA32470cDC62A635ED3A0C7F0dc5FB2fE",4261269890,3444672,1624012095,1630060095,1624006506
3741,"0x59bE44e9489674267224cB24f1a12bC6BB099D92",51355792933,3345085,1621592895,1625221695,1620845808
6634,"0xB5619CA0Bdd458EBfbc2b8B4b823E23D5717ea67",80000000000,3429246,1622802495,1626431295,1623507480
2454,"0xB753b89722a1969D3850c37D05333aE592302412",1434567826,3342332,1621592895,1625221695,1620760106
6419,"0x4270dE12D4D511C63eAB63292A5fc2F1055Dd5f3",40000000000,3411893,1624012095,1632479295,1622950686
1135,"0x1ef47d1853C7Be7E4d6cce8db451E5FF5eF191c6",15968085,3325355,1620383295,1627640895,1620237809
