"id","staker","amount","block","locked_until","timestamp"
60722,"0xeFa9986e463e40F7489780d4Af885F92A9a1F901",3058895447,3513535,1627640895,1626195104
60722,"0xeFa9986e463e40F7489780d4Af885F92A9a1F901",3058895447,3513535,1627640895,1626195104
68527,"0x722FEAb91c7484C66DA25251b40E63254ccC4663",882005369,3601398,1631269695,1628971761
49629,"0x1211484a0fb5811B5D07D9f3cB195B829EEc34Da",901000000,3397415,1634898495,1622494443
49629,"0x1211484a0fb5811B5D07D9f3cB195B829EEc34Da",901000000,3397415,1634898495,1622494443
60604,"0x03fF1B9a48FBA6B5D0b6c8Da5cA723471c1C655F",1651877111,3505077,1638527295,1625927500
60604,"0x03fF1B9a48FBA6B5D0b6c8Da5cA723471c1C655F",1651877111,3505077,1638527295,1625927500
62230,"0x09FdCFD6f607a06fD4Aeed74F5cE6548C8eaf3fC",24362000000,3531868,1632479295,1626776686
62230,"0x09FdCFD6f607a06fD4Aeed74F5cE6548C8eaf3fC",24362000000,3531868,1632479295,1626776686
11534,"0x61f95908E01d1A7A2301583D67281B80059781Ae",21344546014,3266252,1626431295,1618411769
11534,"0x61f95908E01d1A7A2301583D67281B80059781Ae",21344546014,3266252,1626431295,1618411769
51060,"0x41B18AF506B68EFa58f1ed6Ca92c879Bac5819b9",36592095848,3428581,1627640895,1623486572
49548,"0x717f8eCbE2eF5720F2d05e43950886D993AE74D0",2814574668,3395440,1627640895,1622432253
49548,"0x717f8eCbE2eF5720F2d05e43950886D993AE74D0",2814574668,3395440,1627640895,1622432253
61391,"0xbCB1c9373B1214ce96ce847160E33660aA293fC8",150899497,3517092,1630060095,1626308387
61391,"0xbCB1c9373B1214ce96ce847160E33660aA293fC8",150899497,3517092,1630060095,1626308387
48675,"0x432898581e081bf89d1f730A2E3759Bd2BB88418",285600000,3382391,1625221695,1622027705
48675,"0x432898581e081bf89d1f730A2E3759Bd2BB88418",285600000,3382391,1625221695,1622027705
34701,"0x9f05908720Bf143b1363D1EA1C3Ab1B180499f2a",462500000,3344416,1628850495,1620825133
34701,"0x9f05908720Bf143b1363D1EA1C3Ab1B180499f2a",462500000,3344416,1628850495,1620825133
69021,"0x72b58B06AEd8cFf8b5f424F55f7dD6edc955d749",11028000000,3617380,1638527295,1629470473
56557,"0xE4c6d82CF48B75102D8fEA8a81Ba0606D07baceC",9091817337,3442347,1637317695,1623931462
58090,"0xCe6208894BCc98c9B00683A5676fd98c9746416e",3517905242,3469808,1646994495,1624821809
58090,"0xCe6208894BCc98c9B00683A5676fd98c9746416e",3517905242,3469808,1646994495,1624821809
56935,"0xB4f9D73f8f9803D1048C83f4425AF38dB711Ab90",4492963167,3454158,1626431295,1624315508
56935,"0xB4f9D73f8f9803D1048C83f4425AF38dB711Ab90",4492963167,3454158,1626431295,1624315508
8983,"0xA152eB75Aa843F5B3ed32BB21991F740EfB97e36",1505213065,3275821,1642156095,1618722611
8983,"0xA152eB75Aa843F5B3ed32BB21991F740EfB97e36",1505213065,3275821,1642156095,1618722611
20211,"0x6735d8455C0BDf9480a79488c7B8815e9f884969",450877217,3327574,1633688895,1620305008
20211,"0x6735d8455C0BDf9480a79488c7B8815e9f884969",450877217,3327574,1633688895,1620305008
51022,"0x38046a3da9498C13aE9749c5C3FedF0d4B3e2D42",263100000,3426443,1640946495,1623417503
51022,"0x38046a3da9498C13aE9749c5C3FedF0d4B3e2D42",263100000,3426443,1640946495,1623417503
64454,"0xB9393836755De736EcB99E503448BD6f2474330c",1952817158,3568893,1630060095,1627951119
64454,"0xB9393836755De736EcB99E503448BD6f2474330c",1952817158,3568893,1630060095,1627951119
62918,"0x6eE542368dD6eC349Ef72127A718eED46f3cA215",72822514379,3553583,1706264895,1627466547
62918,"0x6eE542368dD6eC349Ef72127A718eED46f3cA215",72822514379,3553583,1706264895,1627466547
24343,"0x55c46C8831da3232dD30188D535ca72B334AB2F2",278033937,3332680,1673605695,1620463443
24343,"0x55c46C8831da3232dD30188D535ca72B334AB2F2",278033937,3332680,1673605695,1620463443
48682,"0xbE70B0152BDAE38417eadbF83E684e5D0D4dB513",285600000,3382434,1625221695,1622028990
48682,"0xbE70B0152BDAE38417eadbF83E684e5D0D4dB513",285600000,3382434,1625221695,1622028990
58163,"0x9e7D354B9c413C9bEDb348955C1B2e29D5e916AA",3292756147,3475161,1627640895,1624990667
58163,"0x9e7D354B9c413C9bEDb348955C1B2e29D5e916AA",3292756147,3475161,1627640895,1624990667
48678,"0xF03a3AAF0a23c8D6240aD5DDCff28fd14099a571",285600000,3382421,1625221695,1622028496
48678,"0xF03a3AAF0a23c8D6240aD5DDCff28fd14099a571",285600000,3382421,1625221695,1622028496
64157,"0x6881Fc865C51f5872cC2f4075d6207DB5644530C",1267783571,3565334,1640946495,1627837165
64157,"0x6881Fc865C51f5872cC2f4075d6207DB5644530C",1267783571,3565334,1640946495,1627837165
59831,"0xA71E8c8eC54888a342586B342c7e86c4646e255f",29155388483,3477609,1655461695,1625066696
